iter	Passed	Remaining
605	842	547
606	843	546
607	844	544
608	845	542
609	846	541
610	847	539
611	848	537
612	849	536
613	850	534
614	851	532
615	852	531
616	852	529
617	853	527
618	854	526
619	855	524
620	856	522
621	857	521
622	858	519
623	859	517
624	860	516
625	861	514
626	862	512
627	863	511
628	864	509
629	865	508
630	866	506
631	866	504
632	867	503
633	868	501
634	869	499
635	870	498
636	871	496
637	872	494
638	873	493
639	874	491
640	875	490
641	876	488
642	877	487
643	878	485
644	879	483
645	880	482
646	881	480
647	882	479
648	883	477
649	884	476
650	885	474
651	886	472
652	887	471
653	887	469
654	888	468
655	889	466
656	890	465
657	891	463
658	892	461
659	893	460
660	894	458
661	895	457
662	896	455
663	897	454
664	898	452
665	899	450
666	900	449
667	901	447
668	902	446
669	903	445
670	904	443
671	905	442
672	906	440
673	907	438
674	908	437
675	909	436
676	910	434
677	911	433
678	912	431
679	913	429
680	914	428
681	915	426
682	916	425
683	917	423
684	918	422
685	919	420
686	920	419
687	921	417
688	922	416
689	923	414
690	923	413
691	924	411
692	925	410
693	926	408
694	927	407
695	928	405
696	929	404
697	930	402
698	931	400
699	932	399
700	933	397
701	933	396
702	934	394
703	935	393
704	936	392
705	937	390
706	938	388
707	939	387
708	940	385
709	941	384
710	942	382
711	942	381
712	943	379
713	944	378
714	945	376
715	946	375
716	947	374
717	948	372
718	949	371
719	950	369
720	951	368
721	952	366
722	953	365
723	953	363
724	954	362
725	955	360
726	956	359
727	957	357
728	958	356
729	959	354
730	960	353
731	961	351
732	962	350
733	963	349
734	964	347
735	965	346
736	965	344
737	966	343
738	967	341
739	968	340
740	969	338
741	970	337
742	971	336
743	973	334
744	974	333
745	975	332
746	976	330
747	977	329
748	979	328
749	980	326
750	981	325
751	982	323
752	983	322
753	984	321
754	985	319
755	986	318
756	987	317
757	988	315
758	990	314
759	991	313
760	992	311
761	993	310
762	994	308
763	995	307
764	996	306
765	997	304
766	998	303
767	1000	302
768	1001	300
769	1002	299
770	1003	298
771	1004	296
772	1005	295
773	1006	293
774	1007	292
775	1009	291
776	1010	289
777	1011	288
778	1012	287
779	1013	285
780	1014	284
781	1015	283
782	1016	281
783	1017	280
784	1018	279
785	1019	277
786	1020	276
787	1021	274
788	1022	273
789	1023	272
790	1024	270
791	1025	269
792	1026	267
793	1027	266
794	1029	265
795	1030	264
796	1031	262
797	1032	261
798	1033	260
799	1034	258
800	1035	257
801	1036	256
802	1038	254
803	1039	253
804	1040	251
805	1040	250
806	1041	249
807	1043	247
808	1044	246
809	1045	245
810	1045	243
811	1046	242
812	1047	241
813	1048	239
814	1049	238
815	1050	236
816	1051	235
817	1052	234
818	1053	232
819	1053	231
820	1054	229
821	1055	228
822	1056	227
823	1057	225
824	1058	224
825	1059	223
826	1060	221
827	1061	220
828	1062	219
829	1063	217
830	1064	216
831	1065	215
832	1066	213
833	1067	212
834	1068	211
835	1069	209
836	1070	208
837	1071	207
838	1071	205
839	1073	204
840	1074	203
841	1075	201
842	1075	200
843	1076	199
844	1077	197
845	1078	196
846	1079	194
847	1080	193
848	1081	192
849	1082	190
850	1083	189
851	1083	188
852	1084	186
853	1085	185
854	1086	184
855	1087	182
856	1088	181
857	1090	180
858	1090	179
859	1091	177
860	1092	176
861	1093	175
862	1094	173
863	1095	172
864	1096	171
865	1097	169
866	1098	168
867	1099	167
868	1100	165
869	1100	164
870	1101	163
871	1102	161
872	1103	160
873	1104	159
874	1105	157
875	1106	156
876	1107	155
877	1108	154
878	1109	152
879	1110	151
880	1111	150
881	1112	148
882	1112	147
883	1113	146
884	1114	144
885	1115	143
886	1116	142
887	1117	140
888	1118	139
889	1119	138
890	1120	137
891	1121	135
892	1122	134
893	1123	133
894	1124	131
895	1125	130
896	1126	129
897	1126	128
898	1127	126
899	1128	125
900	1129	124
901	1130	122
902	1131	121
903	1132	120
904	1133	119
905	1134	117
906	1135	116
907	1136	115
908	1137	113
909	1138	112
910	1139	111
911	1140	110
912	1141	108
913	1142	107
914	1143	106
915	1144	104
916	1144	103
917	1145	102
918	1146	101
919	1147	99
920	1148	98
921	1149	97
922	1150	95
923	1151	94
924	1152	93
925	1153	92
926	1154	90
927	1155	89
928	1156	88
929	1157	87
930	1158	85
931	1159	84
932	1160	83
933	1161	82
934	1162	80
935	1163	79
936	1164	78
937	1164	77
938	1165	75
939	1166	74
940	1167	73
941	1168	71
942	1169	70
943	1170	69
944	1171	68
945	1172	66
946	1173	65
947	1173	64
948	1174	63
949	1175	61
950	1176	60
951	1178	59
952	1179	58
953	1180	56
954	1181	55
955	1182	54
956	1183	53
957	1183	51
958	1184	50
959	1185	49
960	1186	48
961	1187	46
962	1188	45
963	1189	44
964	1190	43
965	1191	41
966	1192	40
967	1193	39
968	1194	38
969	1195	36
970	1196	35
971	1197	34
972	1198	33
973	1199	32
974	1200	30
975	1201	29
976	1202	28
977	1202	27
978	1203	25
979	1204	24
980	1205	23
981	1206	22
982	1207	20
983	1208	19
984	1209	18
985	1210	17
986	1211	15
987	1212	14
988	1213	13
989	1214	12
990	1214	11
991	1215	9
992	1216	8
993	1217	7
994	1218	6
995	1219	4
996	1220	3
997	1221	2
998	1222	1
999	1223	0
